	R [arcmin]	v [km/s]
       26.163994       152.89159
       32.301069       37.843472
       28.864064       49.230686
       28.522707      -52.205517
       28.671555      -132.89331
       25.102163       259.49713
       34.742763       84.790581
       34.916219       160.56825
       24.668489       68.824944
       28.806305       5.1545773
       32.336359       63.518497
       27.416971       44.253807
       24.055485       183.55812
       27.519378      -56.330036
       33.902236       51.772869
       24.622158       31.457914
       34.362496       224.12212
       26.272926       163.15048
       24.651201       271.96301
       31.296509       21.650759
       26.827074       72.517303
       24.148025       173.10162
       23.112647       149.95030
       33.227589       36.197079
       23.110467       42.765411
       22.664797       241.70085
       23.788853       49.490494
       21.890472      -20.186468
       34.265698      -28.136513
       34.412340       20.864748
       22.671097       21.261875
       25.362243      -81.314682
       33.923179       218.09447
       21.246922       136.60147
       34.168750       180.74039
       23.827619       88.933769
       24.603763       62.134716
       24.257866       97.685966
       26.964704       69.073891
       29.008141       124.25150
       32.084874       19.208941
       23.446425       93.462143
       25.859730       17.790451
       22.555371       51.209431
       24.982060       240.37563
       21.010819       103.58905
       20.216630       149.30133
       27.826600       18.612410
       21.779829       213.82678
       23.077623       84.024963
       20.201412       107.75857
       20.197234       65.171349
       33.318510       195.71175
       35.889975       107.35487
       28.924105       165.64995
       28.284975       11.100976
       19.548788       324.63669
       38.971223       34.170864
       26.357681       23.994858
       18.705645       142.16855
       29.425984       263.94473
       21.103486       236.29156
       28.845812       73.486145
       23.142834       74.392593
       18.446269       195.43436
       23.504189       31.759462
       19.197446       17.592758
       24.176979       261.31921
       17.922676       57.260963
       20.219113       139.59525
       24.543123       34.688499
       21.776790       107.27020
       17.766595       234.18875
       33.385463       232.60480
       23.535796       231.38667
       29.243391       30.864040
       18.411511      -80.067886
       32.324649       199.86212
       31.119294       310.18713
       22.380451       50.444080
       17.468004       61.326424
       22.221937      -30.553537
       28.520148      -18.387527
       27.673749       19.299032
       24.465221       9.2158031
       17.758951       97.669037
       35.042567       183.83379
       30.659231       196.15527
       15.593486       29.663040
       30.420490       6.3583522
       24.412985       260.27539
       21.736995       49.750851
       20.067987       89.237175
       21.541263       7.9551201
       32.488828      -42.742474
       24.304470       179.42705
       20.219889       96.165817
       15.064739       190.07040
       31.888606       52.775143
       15.183883       190.75696
       14.093944       229.30678
       14.369300       27.010414
       20.174688       36.006947
       37.182664       33.948887
       15.181778       86.589859
       26.011591      -37.434929
       33.175249       166.62601
       28.770250       91.382034
       15.666316       32.867432
       23.807458       116.22709
       27.428393      -9.4669781
       38.495650       144.42958
       22.798152      -17.005384
       33.244866       77.899406
       28.734743       84.638557
       28.215129       131.54691
       13.151547       31.124640
       14.584780      -25.323690
       24.520517       88.657715
       33.697016       62.382801
       22.911257      -52.982304
       38.223014       89.468651
       21.998550       212.56438
       22.479371       25.960337
       33.829993       57.815876
       12.299868       126.31881
       27.079570       353.32333
       11.560507       75.589218
       14.397820      -29.937733
       22.819171       178.33020
       17.490038       402.43100
       17.780984       55.645412
       22.949862       261.22394
       25.015381       59.027920
       27.830312       206.52228
       10.980176       118.95244
       34.263255       193.15742
       37.244404       62.961658
       9.8078349      -58.853458
       10.499468      -3.8357430
       25.681259       27.981575
       11.756937      -90.963097
       19.119828      -45.471317
       33.383796       55.259357
       36.955045       22.119869
       29.836437       87.718178
       11.378196       245.90706
       31.328517      -65.833511
       22.732699       160.16507
       20.829187      -163.53094
       17.596135       147.38533
       21.724846       27.067638
       13.429667       158.88423
       13.430788       83.475029
       21.196796       373.68732
       23.768888       114.55509
       14.679579       18.491287
       27.188489       131.61998
       41.629334       96.308182
       16.665118       172.50826
       24.817945       94.275665
       11.741329      -39.672543
       7.1369378       18.506720
       30.480905       312.44397
       17.447688      -25.091211
       21.679605       110.96243
       26.856386       130.94125
       11.958107       18.747274
       15.250801       111.33937
       35.917642       123.03757
       20.953142       347.37354
       26.122050      -18.888786
       28.232231       112.85426
       20.841468      -27.166893
       23.652710       110.82793
       32.342380      -55.591431
       39.555461       143.79494
       17.983824       75.277977
       27.127553       381.91452
       31.236427       61.549713
       27.390937       133.44894
       37.968302       219.45001
       31.030620       144.30855
       5.1993072       9.8312321
       17.939676       126.61841
       18.282540      -34.640385
       12.404733       105.39206
       19.986493       51.758797
       31.154182       125.44549
       11.516354       14.964607
       23.535212      -11.874797
       9.4164331       55.347889
       31.207922       147.34381
       26.953091       115.76682
       23.117371       45.225525
       28.625242       184.70987
       12.716231      -10.416607
       21.234797       114.71434
       17.575102       169.36397
       31.129403       278.98166
       35.970715      -44.849575
       25.161389       127.39947
       40.784830      -10.685620
       13.953564       100.94351
       33.749370       390.57660
       12.027460       236.25728
       38.231463      -145.19887
       24.548332      -10.741132
       13.204295      -68.461182
       7.9138301       204.91884
       10.930402       204.50534
       33.559452       80.503380
       17.298884       28.026224
       9.0711351       100.65625
       29.030427       47.574047
       22.138573       98.811440
       41.589064       147.28229
       20.613750       65.762634
       25.701172       26.718895
       23.023459       163.75783
       33.231152       67.994385
       23.827601       23.368998
       24.753677       116.74343
       24.004973       96.735382
       25.231898       142.29193
       34.963045      -22.197187
       37.508698       222.24486
       35.587876       312.14270
       47.342008       52.778233
       17.844971       88.661407
       14.467864       59.128380
       21.192710       223.41696
       13.551480       20.386164
       19.974808       62.086819
       27.265680       52.918365
       34.678201       169.14952
       18.642388       152.70757
       14.029337      -6.0543170
       26.808765       44.182384
       38.343796      -48.579067
       7.4412286       219.62857
       7.6148322       74.116638
       13.362492      -70.451065
       20.503148       147.40616
